texto,politicaId,nombrePolitica
debo me dicen el saldo de mi cuenta para mi cuenta,WIFI_CONSULTAR_FACTURA,Consulta de factura
porfa cambio del dispositivo wifi urgente,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
pueden ayudarme a me ayudan a cambiar nombre de red hoy mismo,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
quiero pedir poner wifi en mi casa nueva ahora,WIFI_INSTALACION,Instalacion de internet WiFi
mi wifi no da conexion ya mismo,WIFI_INTERNET_CAIDO,Internet caido
necesito asistencia tecnica presencial lo antes posible,WIFI_VISITA_TECNICA,Visita tecnica
por favor solicitar cambio de equipo para mi cuenta,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
busco actualizar mi plan mensual en mi casa,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
me gustaria que me den otro router por favor,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
necesito dar de baja el internet de la oficina,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
me pueden ayudar con reclamar porque el monto esta mal cuanto antes,WIFI_RECLAMO_COBRO,Reclamo de cobro
ayuda para editar el nombre del modem urgente por favor,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
necesito hacer router con luces rojas en mi casa,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
el nombre del wifi esta mal escrito,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
porfa recibo duplicado por favor,WIFI_DUPLICADO_FACTURA,Duplicado de factura
como solicito tengo comprobante para cargar para mi cuenta,WIFI_REGISTRAR_PAGO,Registro de pago
deseo ya hice el deposito del servicio porfa,WIFI_REGISTRAR_PAGO,Registro de pago
pueden ayudarme a ver avance de instalacion porfa,WIFI_ESTADO_INSTALACION,Estado de instalacion
porfa visita para revisar el cable urgente por favor,WIFI_VISITA_TECNICA,Visita tecnica
porfa cambiar ssid de mi internet para mi cuenta,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
necesito mi wifi queda corto cuando uso netflix para mi cuenta,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
quiero pedir revisar el modem de casa gracias,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
porfa agendar revision tecnica en mi casa,WIFI_VISITA_TECNICA,Visita tecnica
me pueden ayudar con reemplazar el modem viejo de inmediato,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
favor de ayuda con el modem por favor,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
quiero pedir poner otro nombre al wifi rapido,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
tengo que duplicado de factura ahora,WIFI_DUPLICADO_FACTURA,Duplicado de factura
el wifi se pone lento en la noche urgente por favor,WIFI_INTERNET_LENTO,Internet lento
por favor cambiar la contrasena ahora,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
quiero modificar agenda del tecnico,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
tengo que agendar revision tecnica de la oficina,WIFI_VISITA_TECNICA,Visita tecnica
deseo revisar mi estado de cuenta para mi cuenta,WIFI_CONSULTAR_FACTURA,Consulta de factura
hacer programar tecnico para manana porfa,WIFI_VISITA_TECNICA,Visita tecnica
busco subir mi comprobante en mi casa,WIFI_REGISTRAR_PAGO,Registro de pago
hacer me pueden mostrar mi factura actual gracias,WIFI_CONSULTAR_FACTURA,Consulta de factura
deseo mi wifi queda corto cuando uso netflix urgente,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
quisiera poner el servicio a nombre de mi empresa cuanto antes,WIFI_CAMBIO_TITULAR,Cambio de titular
busco un plan mas economico para mi cuenta,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
cambiar ssid de mi internet ahora,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
por favor no puedo conectarme a internet,WIFI_INTERNET_CAIDO,Internet caido
