instanciaId,politicaId,nombrePolitica,origenDatos,rutaEjecutadaCodificada,rutaEjecutadaLegible,carrilesVisitados,actividadesVisitadas,decisionesTomadas,cantidadObservaciones,cantidadNodos,cantidadDecisiones,cantidadForks,cantidadJoins,cantidadRetornos,cantidadReprocesos,cantidadDocumentos,cantidadFuncionariosInvolucrados,duracionPromedioHistorica,nodoMasLento,actividadMasLenta,carrilMasLento,cuelloBotellaLabel,anomaliaLabel,riesgoDemoraLabel,prioridadActual,prioridadRecomendadaLabel,rutaRecomendadaLabel,rutaRecomendadaLegible,motivoRecomendacion
SIM-LOCAL-968cb551,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-92cc468a,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-5287ac8d,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-69bcef94,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-65aed4ff,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-ffd62432,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,0,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-73c51ab9,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-f683d9e9,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-11e26b09,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-e332a8b5,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-513ef3b2,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-edf7ced2,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
